word,deck,source,def,ex,weight,lastTested,numTested,numRight
gall,common2,magoosh,the trait of being rude and impertinent / feeling of deep and bitter anger and ill-will,Michael had the gall to claim he saved Meridith after hitting her with his car. The gall between Ron and Leslie was quickly desipated after a night of reconcilation.,0.0,,0,0
mawkish,common2,magoosh,overly sentimental to the point where it's disgusting,Dwight found Kelly's tears mawkish to the point where he had to leave the room as not to stab her eyes out.,0.0,,0,0
lambast,common2,magoosh,critcize severely or angrily,"Management lambasted Dwight for the fire scare, angrily cricizing him for almost killing Michael.",0.0,,0,0
ephemeral,common3,magoosh,lasting a short time,April's office friendships turned from ephemeral relationships to for-life friendshipss.,1.0,,0,0
avaricious,common3,magoosh,excessively greedy,"Bender's avaricious attitude masked a softer loving side under that selfish shell. He might steel a lot and want everything for himself, yet he still loved Fry a lot.",1.0,,0,0
recondite,common2,magoosh,"difficult to penetrate, incomprehensible to one of ordinary understanding or knowledge, hard to understand","Michael found the financial reports recondite. He asked Oscar to explain them like he was an 8 year old, and then as a 5 year old.",0.0,,0,0
querulous,common2,magoosh,habitually complaining,"Jan's querulous comments about being pregnant was countered by Stanely whose feet are always hurting, always grouchy, etc...",0.0,,0,0
eclectic,common3,magoosh,comprised of a variety of styles,"The final show on the stage was an eclectic mix of pop, rock, country, and even jazz.",1.0,,0,0
superfluous,common2,magoosh,"serving no useful purpose, more than is needed or desired",The Department of Infinity Pools serves the superfluous job of building infinity pools in public parks and keeping them clean.,0.0,,0,0
frivolous,common2,magoosh,not serious in content or attiude or behavior,Much of what Tommy said in the beginning was frivolous and crammed chuckful of trying to be cool. Ron was the exact opposite of that.,0.0,,0,0
germane,common2,magoosh,relevant and appropriate,Creed's comments are never germane to whatever is happening in the Office.,0.0,,0,0
frustrate,common3,magoosh,hinder or prevent,Michael felt frustrated with everyone for their apathy about his boss's death,1.0,,0,0
perfidy,common2,glut,an act of deliberate betrayal; a breach of trust,"Dwight commited perfidy against Michael, when he went behind his back to Jan to  take over Michael's job as manager.",0.0,,0,0
conspicuous,common2,magoosh,"completely obvious, without attempting to conceal",Andy's insidious intentions were conspicuous to everyone but Michael. He still thought of him as a nice guy.,0.0,,0,0
delineate,common3,magoosh,describe in detail,Leslie handed April a binder that delineated her entire career over the next 10 years. It even included the exact month she would run for congress and win.,1.0,,0,0
mitigate,common2,magoosh,make less severe or harsh,Wallace tried to mitigate the damage done to Michael by losing Holy by sending him on a trip to Canada.,0.0,,0,0
inexorable,common2,magoosh,impossible to stop or event,"No matter how hard Leslie and Ron held on, change is inexorable and always came for their office and group.",0.0,,0,0
incisive,common2,magoosh,having or demonstrating the ability to recognize or draw fine distincitons,Mark's incisive comments into how government works helped clear a few road blocks for Leslie from getting what she wanted.,0.0,,0,0
meticulous,common2,magoosh,(adj) marked by extreme care in treatment of details,"Daryll was very meticulous about how the storage was run, unlike Michael which ran the office haphazardly",0.0,,0,0
apathy,common3,magoosh,lacking of emotion or enthusiasm,"Ben and Chris, who were used to general apathy towards government work in Indiana, were suprised by how much people cared in Pawnee and how many showed up to public meetings.",1.0,,0,0
maintain,common1,magoosh,to assert,"Tom always maintained that he was going to become a rich successful businessman, even when it looked really bleak for him.",1.0,,0,0
negligible,common3,magoosh,so small they seem unimportant,"""I Braveheart"" is an example of jokes that are negligible on the first watch, yet become more eminent as you watch the show a second and third time",1.0,,0,0
impertinent,common1,magoosh,(adj) being disrespectful; improperly forward or bold,"The tattoo shop owner's suggestion to build a disney park felt very impertinent to Leslie, especially since he was not invited, broke through a window to get in and it was a stupid unoriginal idea.",1.0,,0,0
